smiles,LogS(mol/L),Normalized SMILES,index
CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302,CC(C)(C)c1ccc(OCC2CO2)cc1,3251
CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,-5.0774,CC(C)(C)c1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1,3252
CC(C)(C)c1ccc(OP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)Oc2ccc(C(C)(C)C)cc2C(C)(C)C)c(C(C)(C)C)c1,-8.1119,CC(C)(C)c1ccc(OP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)Oc2ccc(C(C)(C)C)cc2C(C)(C)C)c(C(C)(C)C)c1,3253
CC(C)(C)c1ccc(OP2OCC3(CO2)COP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)OC3)c(C(C)(C)C)c1,-6.8131,CC(C)(C)c1ccc(OP2OCC3(CO2)COP(Oc2ccc(C(C)(C)C)cc2C(C)(C)C)OC3)c(C(C)(C)C)c1,3254
CC(C)(C)c1ccc2oc(-c3ccc(-c4nc5cc(C(C)(C)C)ccc5o4)s3)nc2c1,-5.634,CC(C)(C)c1ccc2oc(-c3ccc(-c4nc5cc(C(C)(C)C)ccc5o4)s3)nc2c1,3255
CC(C)(C)c1cccc(C(C)(C)C)c1O,-4.8151,CC(C)(C)c1cccc(C(C)(C)C)c1O,3256
CC(C)(C)c1cccc(C(C)(C)C)n1,-4.4317,CC(C)(C)c1cccc(C(C)(C)C)n1,3257
CC(C)(C)c1cccc(O)c1,-1.8614,CC(C)(C)c1cccc(O)c1,3258
CC(C)(C)c1ccccc1,-3.66,CC(C)(C)c1ccccc1,3259
CC(C)(C)c1ccccc1O,-2.2608,CC(C)(C)c1ccccc1O,3260
CC(C)(C)c1ccccn1,-1.7447,CC(C)(C)c1ccccn1,3261
CC(C)(C)c1ccnc(C(C)(C)C)c1,-3.7452,CC(C)(C)c1ccnc(C(C)(C)C)c1,3262
CC(C)(C)c1ccncc1,-1.2676,CC(C)(C)c1ccncc1,3263
CC(C)(C)c1cn2c(=O)c3ncn(COCCO)c3nc2[nH]1,-2.5114,CC(C)(C)c1cn2c(=O)c3ncn(COCCO)c3nc2[nH]1,3264
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCN(CC(=O)NCCOCCOCCOCCNc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)s2)o1,-4.75,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCN(CC(=O)NCCOCCOCCOCCNc4cccc5c4C(=O)N(C4CCC(=O)NC4=O)C5=O)CC3)s2)o1,3265
CC(C)(C)c1n[nH]c(=O)[nH]c1=O,-1.5,CC(C)(C)c1n[nH]c(=O)[nH]c1=O,3266
CC(C)(C)c1n[nH]c(=O)n(N)c1=O,-2.0478,CC(C)(C)c1n[nH]c(=O)n(N)c1=O,3267
CC(C)(C)c1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,-3.74,CC(C)(C)c1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,3268
CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,-4.0942,CC(C)(C)c1nnc(NS(=O)(=O)c2ccccc2)s1,3269
CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-5.51,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,3270
CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@@]21C,-5.51,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@@]21C,3271
CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,-5.1244,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,3272
CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-5.5113,CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,3273
CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,-5.12,CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,3274
CC(C)(C)CC(C)(C)C,-5.29,CC(C)(C)CC(C)(C)C,3275
CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1,-7.9737,CC(C)(C)CC(C)(C)c1cc(Cc2cc(C(C)(C)CC(C)(C)C)cc(-n3nc4ccccc4n3)c2O)c(O)c(-n2nc3ccccc3n2)c1,3276
CC(C)(C)CC(C)(C)c1cc(O)c(C(C)(C)CC(C)(C)C)cc1O,-7.0931,CC(C)(C)CC(C)(C)c1cc(O)c(C(C)(C)CC(C)(C)C)cc1O,3277
CC(C)(C)CC(C)(C)c1ccc([O-])c(Sc2cc(C(C)(C)CC(C)(C)C)ccc2[O-])c1.CCCCN.[Ni+2],-6.446,CC(C)(C)CC(C)(C)c1ccc([O-])c(Sc2cc(C(C)(C)CC(C)(C)C)ccc2[O-])c1.CCCCN.[Ni+2],3278
CC(C)(C)CC(C)(C)C1CCC(=N/O)/C(=N\O)C1,-6.41,CC(C)(C)CC(C)(C)C1CCC(=N/O)/C(=N\O)C1,3279
CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(C(C)(C)CC(C)(C)C)cc2)cc1,-6.7359,CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(C(C)(C)CC(C)(C)C)cc2)cc1,3280
CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,-8.2244,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,3281
CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccccc3n2)c1,-5.5098,CC(C)(C)CC(C)(C)c1ccc(O)c(-n2nc3ccccc3n2)c1,3282
CC(C)(C)CC(C)(C)c1ccc(O)cc1,-4.4695,CC(C)(C)CC(C)(C)c1ccc(O)cc1,3283
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],-2.9033,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],3284
CC(C)(C)CC(C)(C)CC(=O)[O-].CC(C)(C)CC(C)(C)CC(=O)[O-].[Ba+2],-1.6988,CC(C)(C)CC(C)(C)CC(=O)[O-].CC(C)(C)CC(C)(C)CC(=O)[O-].[Ba+2],3285
CC(C)(C)CC(C)(C)CC(=O)[O-].CC(C)(C)CC(C)(C)CC(=O)[O-].[Zn+2],-3.5343,CC(C)(C)CC(C)(C)CC(=O)[O-].CC(C)(C)CC(C)(C)CC(=O)[O-].[Zn+2],3286
CC(C)(C)CC(C)(C)N(c1ccccc1)c1cccc2ccccc12,-8.29,CC(C)(C)CC(C)(C)N(c1ccccc1)c1cccc2ccccc12,3287
CC(C)(C)CC(C)(C)NCC1CCC(CNC(C)(C)CC(C)(C)C)CC1.Cl.Cl,-8.1447,CC(C)(C)CC(C)(C)NCC1CCC(CNC(C)(C)CC(C)(C)C)CC1.Cl.Cl,3288
CC(C)(C)Cc1ccccc1,-4.15,CC(C)(C)Cc1ccccc1,3289
CC(C)(C)CCCCC(=O)O,-2.475,CC(C)(C)CCCCC(=O)O,3290
CC(C)(C)CCCCC1(C(=O)OC(C)(C)CC(C)(C)C)OO1,-6.9712,CC(C)(C)CCCCC1(C(=O)OC(C)(C)CC(C)(C)C)OO1,3291
CC(C)(C)CCCCCCCC(=O)O,-2.1114,CC(C)(C)CCCCCCCC(=O)O,3292
CC(C)(C)CCCO,-1.55,CC(C)(C)CCCO,3293
CC(C)(C)CCO,-0.8154,CC(C)(C)CCO,3294
CC(C)(C)Cl,-1.507,CC(C)(C)Cl,3295
CC(C)(C)CNCCSS(=O)(=O)O,-0.15527,CC(C)(C)CNCCSS(=O)(=O)O,3296
CC(C)(C)CO,-0.41,CC(C)(C)CO,3297
CC(C)(C)COC(N)=O,-0.8,CC(C)(C)COC(N)=O,3298
CC(C)(C)N,1.1359,CC(C)(C)N,3299
CC(C)(C)N([O])C(C)(C)C,-2.1138,CC(C)(C)N([O])C(C)(C)C,3300
CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,-4.435,CC(C)(C)N(NC(=O)c1ccc(Cl)cc1)C(=O)c1ccccc1,3301
CC(C)(C)N(Sc1nc2ccccc2s1)Sc1nc2ccccc2s1,-8.3629,CC(C)(C)N(Sc1nc2ccccc2s1)Sc1nc2ccccc2s1,3302
CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-3.43,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,3303
CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,-4.6881,CC(C)(C)N1CCC(c2ccccc2)(c2ccccc2)CC1,3304
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,-4.2219,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,3305
CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(C(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,-8.76,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(C(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C,3306
CC(C)(C)NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],-3.17,CC(C)(C)NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],3307
CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)O)CCC4(C)C3CCC12C,-8.76,CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)O)CCC4(C)C3CCC12C,3308
CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)c2ccc([N+](=O)[O-])cc2)CSC1(C)C,-3.98,CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)c2ccc([N+](=O)[O-])cc2)CSC1(C)C,3309
CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)c2ccc(Cl)cc2)CSC1(C)C,-4.28,CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)c2ccc(Cl)cc2)CSC1(C)C,3310
CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)c2ccccc2)CSC1(C)C,-3.62,CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)c2ccccc2)CSC1(C)C,3311
CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)Cc2ccccc2)CSC1(C)C,-3.72,CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)Cc2ccccc2)CSC1(C)C,3312
CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)COc2ccccc2)CSC1(C)C,-3.83,CC(C)(C)NC(=O)C1N(C(=O)C(O)C(Cc2ccccc2)NC(=O)COc2ccccc2)CSC1(C)C,3313
CC(C)(C)NC(=O)COC(=O)c1ccccc1,-2.866,CC(C)(C)NC(=O)COC(=O)c1ccccc1,3314
CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,-2.54,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,3315
CC(C)(C)NC(N)=O,-0.73062,CC(C)(C)NC(N)=O,3316
CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1,-1.22,CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1,3317
CC(C)(C)NC[C@@H](O)COc1ccccc1C1CCCC1,-1.6347,CC(C)(C)NC[C@@H](O)COc1ccccc1C1CCCC1,3318
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O,-2.1982,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O,3319
CC(C)(C)NCC(=O)N1c2ccccc2Sc2ccccc21.Cl,-5.3386,CC(C)(C)NCC(=O)N1c2ccccc2Sc2ccccc21.Cl,3320
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,-1.9216,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,3321
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,-0.024766,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,3322
CC(C)(C)NCC(O)c1cc(O)cc(O)c1.CC(C)(C)NCC(O)c1cc(O)cc(O)c1.O=S(=O)(O)O,-0.41091,CC(C)(C)NCC(O)c1cc(O)cc(O)c1.CC(C)(C)NCC(O)c1cc(O)cc(O)c1.O=S(=O)(O)O,3323
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.O=S(=O)(O)O,-0.28383,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.CC(C)(C)NCC(O)c1ccc(O)c(CO)c1.O=S(=O)(O)O,3324
CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1.Cl,-2.3962,CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1.Cl,3325
CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,-3.62,CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1,3326
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,-1.01,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,3327
CC(C)(C)NCC(O)COc1ccccc1C#N,-1.6352,CC(C)(C)NCC(O)COc1ccccc1C#N,3328
CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,-1.84,CC(C)(C)NCC(O)COc1ccccc1C1CCCC1,3329
CC(C)(C)NCC1CCC(CNC(C)(C)C)CC1.Cl.Cl,-4.1928,CC(C)(C)NCC1CCC(CNC(C)(C)C)CC1.Cl.Cl,3330
CC(C)(C)NCc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1,-1.98,CC(C)(C)NCc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1,3331
CC(C)(C)NCCC(=O)N1c2ccccc2Sc2ccccc21.Cl,-5.5184,CC(C)(C)NCCC(=O)N1c2ccccc2Sc2ccccc21.Cl,3332
CC(C)(C)NCCCC12CC3CC(CC(C3)C1)C2.Cl,-4.9649,CC(C)(C)NCCCC12CC3CC(CC(C3)C1)C2.Cl,3333
CC(C)(C)NCCSS(=O)(=O)O,0.36472,CC(C)(C)NCCSS(=O)(=O)O,3334
CC(C)(C)NSc1nc2ccccc2s1,-5.5184,CC(C)(C)NSc1nc2ccccc2s1,3335
CC(C)(C)O,1.13,CC(C)(C)O,3336
CC(C)(C)OC(=O)C1(S(=O)(=O)c2ccc(Cl)cc2)CC1,-4.1206,CC(C)(C)OC(=O)C1(S(=O)(=O)c2ccc(Cl)cc2)CC1,3337
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,-2.1549,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,3338
CC(C)(C)OC(=O)N[C@H](C(=O)O)C12CC3CC(CC(O)(C3)C1)C2,-1.9452,CC(C)(C)OC(=O)N[C@H](C(=O)O)C12CC3CC(CC(O)(C3)C1)C2,3339
CC(C)(C)OC(=O)Nc1cccn([C@@H](CC2CCCCC2)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)C(=O)NC2CC2)c1=O,-3.28,CC(C)(C)OC(=O)Nc1cccn([C@@H](CC2CCCCC2)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)C(=O)NC2CC2)c1=O,3340
CC(C)(C)OC(N)=O,0.1,CC(C)(C)OC(N)=O,3341
CC(C)(C)OO,0.88465,CC(C)(C)OO,3342
CC(C)(C)OO.CC1(C)CC(OC(=O)CCCCCCCCC(=O)OC2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1.CCCCCCCC,-5.0576,CC(C)(C)OO.CC1(C)CC(OC(=O)CCCCCCCCC(=O)OC2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1.CCCCCCCC,3343
CC(C)(C)OOC(=O)C(C)(C)C,-2.068,CC(C)(C)OOC(=O)C(C)(C)C,3344
CC(C)(C)OOC(=O)c1ccccc1,-2.7764,CC(C)(C)OOC(=O)c1ccccc1,3345
CC(C)(C)OOC(C)(C)C,-2.932,CC(C)(C)OOC(C)(C)C,3346
CC(C)(C)OOC(C)(C)C#CC(C)(C)OOC(C)(C)C,-5.1146,CC(C)(C)OOC(C)(C)C#CC(C)(C)OOC(C)(C)C,3347
CC(C)(C)OOC(C)(C)c1ccc(C(C)(C)OOC(C)(C)C)cc1,-5.7372,CC(C)(C)OOC(C)(C)c1ccc(C(C)(C)OOC(C)(C)C)cc1,3348
CC(C)(C)OOC(C)(C)c1ccccc1,-4.2909,CC(C)(C)OOC(C)(C)c1ccccc1,3349
CC(C)(C)OOC1(CCc2ccccc2)C(=O)NC(=O)NC1=O,-3.7422,CC(C)(C)OOC1(CCc2ccccc2)C(=O)NC(=O)NC1=O,3350
CC(C)(C)OOC1(OOC(C)(C)C)CCCCC1,-5.3862,CC(C)(C)OOC1(OOC(C)(C)C)CCCCC1,3351
CC(C)(C)S,-1.7878,CC(C)(C)S,3352
CC(C)(C)S(=O)(=O)C(C)(C)C,-1.2177,CC(C)(C)S(=O)(=O)C(C)(C)C,3353
CC(C)(C)Sc1ccc(CC/[NH+]=C(\N)CSSC/C(N)=[NH+]\CCc2ccc(SC(C)(C)C)cc2)cc1.[Cl-].[Cl-],-7.6331,CC(C)(C)Sc1ccc(CC/[NH+]=C(\N)CSSC/C(N)=[NH+]\CCc2ccc(SC(C)(C)C)cc2)cc1.[Cl-].[Cl-],3354
CC(C)(C=O)CO,-0.3279,CC(C)(C=O)CO,3355
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,-6.0983,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,3356
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1.ClCC1CO1,-7.2735,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1.ClCC1CO1,3357
CC(C)(c1cc(Br)c(OCC(Br)CBr)c(Br)c1)c1cc(Br)c(OCC(Br)CBr)c(Br)c1,-9.8164,CC(C)(c1cc(Br)c(OCC(Br)CBr)c(Br)c1)c1cc(Br)c(OCC(Br)CBr)c(Br)c1,3358
CC(C)(c1cc(Br)c(OCC2CO2)c(Br)c1)c1cc(Br)c(OCC2CO2)c(Br)c1,-7.3953,CC(C)(c1cc(Br)c(OCC2CO2)c(Br)c1)c1cc(Br)c(OCC2CO2)c(Br)c1,3359
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,-2.9933,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,3360
CC(C)(C1CCC(O)CC1)C1CCC(O)CC1,-3.0976,CC(C)(C1CCC(O)CC1)C1CCC(O)CC1,3361
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.CC1CO1.ClCC1CO1,-4.3744,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.CC1CO1.ClCC1CO1,3362
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.ClCC1CO1,-5.0291,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.ClCC1CO1,3363
CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,-5.4696,CC(C)(c1ccc(OC#N)cc1)c1ccc(OC#N)cc1,3364
CC(C)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,-7.1917,CC(C)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,3365
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,-4.7996,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,3366
CC(C)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1,-3.4518,CC(C)(c1ccc(OCCO)cc1)c1ccc(OCCO)cc1,3367
CC(C)(c1ccccc1)C(C)(C)c1ccccc1,-6.4742,CC(C)(c1ccccc1)C(C)(C)c1ccccc1,3368
CC(C)(c1ccccc1)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)c2ccccc2)c1,-7.0488,CC(C)(c1ccccc1)c1cc(-n2nc3ccccc3n2)c(O)c(C(C)(C)c2ccccc2)c1,3369
CC(C)(c1ccccc1)c1ccc(O)cc1,-4.0841,CC(C)(c1ccccc1)c1ccc(O)cc1,3370
CC(C)(c1ccccc1)c1ccc(O[P@]2OCC3(CO[P@@](Oc4ccc(C(C)(C)c5ccccc5)cc4C(C)(C)c4ccccc4)OC3)CO2)c(C(C)(C)c2ccccc2)c1,-7.232,CC(C)(c1ccccc1)c1ccc(O[P@]2OCC3(CO[P@@](Oc4ccc(C(C)(C)c5ccccc5)cc4C(C)(C)c4ccccc4)OC3)CO2)c(C(C)(C)c2ccccc2)c1,3371
CC(C)(CC(=O)O)C(=O)O,-0.32,CC(C)(CC(=O)O)C(=O)O,3372
CC(C)(CC(=O)O)c1ccccc1,-2.5692,CC(C)(CC(=O)O)c1ccccc1,3373
CC(C)(Cc1ccccc1)NC(=O)N(CCCl)N=O,-4.4552,CC(C)(Cc1ccccc1)NC(=O)N(CCCl)N=O,3374
CC(C)(CCC#N)c1nc2sc(C(C)(C)CCC#N)nc2s1,-5.3177,CC(C)(CCC#N)c1nc2sc(C(C)(C)CCC#N)nc2s1,3375
CC(C)(CCC(C)(C)CC(=O)O)CC(=O)O,-3.1319,CC(C)(CCC(C)(C)CC(=O)O)CC(=O)O,3376
CC(C)(CF)n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-2.6,CC(C)(CF)n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,3377
CC(C)(CNNCc1ccccc1)C(=O)O.Cl,-2.0202,CC(C)(CNNCc1ccccc1)C(=O)O.Cl,3378
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-].CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-].[Ca+2],0.3219,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-].CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)[O-].[Ca+2],3379
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCS,-0.79626,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCS,3380
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,-0.99095,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO,3381
CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,0.083041,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O.CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,3382
CC(C)(CO)[C@@H](O)C(=O)NCCCO,0.54107,CC(C)(CO)[C@@H](O)C(=O)NCCCO,3383
CC(C)(CO)[N+](=O)[O-],1.4681,CC(C)(CO)[N+](=O)[O-],3384
CC(C)(CO)C(O)C(=O)NCCC(=O)O,0.6591,CC(C)(CO)C(O)C(=O)NCCC(=O)O,3385
CC(C)(CO)C(O)C(=O)NCCCO,0.56269,CC(C)(CO)C(O)C(=O)NCCCO,3386
CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,-3.8,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,3387
CC(C)(CO)CC(C)(C)c1nc2sc(C(C)(C)CC(C)(C)CO)nc2s1,-7.3753,CC(C)(CO)CC(C)(C)c1nc2sc(C(C)(C)CC(C)(C)CO)nc2s1,3388
CC(C)(CO)Cc1ccccc1,-2.0423,CC(C)(CO)Cc1ccccc1,3389
CC(C)(CO)CO,0.90142,CC(C)(CO)CO,3390
CC(C)(CO)CO.CCCCCCC(=O)O,-6.6709,CC(C)(CO)CO.CCCCCCC(=O)O,3391
CC(C)(CO)CO.CCCCCCCC(=O)O.CCCCCCCCCC(=O)O,-6.6559,CC(C)(CO)CO.CCCCCCCC(=O)O.CCCCCCCCCC(=O)O,3392
CC(C)(CO)COC(=O)C(C)(C)CO,0.068202,CC(C)(CO)COC(=O)C(C)(C)CO,3393
CC(C)(CO)NC(=O)/C=C/c1ccccc1,-1.8121,CC(C)(CO)NC(=O)/C=C/c1ccccc1,3394
CC(C)(COC(=O)c1ccccc1)COC(=O)c1ccccc1,-5.4228,CC(C)(COC(=O)c1ccccc1)COC(=O)c1ccccc1,3395
CC(C)(COCc1cccc(Oc2ccccc2)c1)c1ccc(OC(F)(F)Br)cc1,-9.9799,CC(C)(COCc1cccc(Oc2ccccc2)c1)c1ccc(OC(F)(F)Br)cc1,3396
CC(C)(CS)NCCC#N.Cl,-0.25599,CC(C)(CS)NCCC#N.Cl,3397
CC(C)(CS)NCCCN.Cl.Cl,-0.088156,CC(C)(CS)NCCCN.Cl.Cl,3398
CC(C)(CSS(=O)(=O)O)NCCC#N,0.62284,CC(C)(CSS(=O)(=O)O)NCCC#N,3399
CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O,-3.43,CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O,3400
